,nctid,title
5086,NCT00632229,"Double Blinded, Placebo-Controlled Trial of Paliperidone Addition in SRI-Resistant Obsessive-Compulsive Disorder"
5087,NCT01453296,Pharmacokinetics and Pharacodynamics of GW642444 in Paedetric Subjects
5088,NCT00530764,A Study of Sativex® for Pain Relief in Patients With Advanced Malignancy.
5089,NCT01128296,Study of Pre-surgery Gemcitabine + Hydroxychloroquine (GcHc) in Stage IIb or III Adenocarcinoma of the Pancreas
5090,NCT01223222,"A Study to Evaluate Safety, Tolerability and Efficacy of Lytixar™ (LTX-109) on Uncomplicated, Gram-positive, Skin Infection"
5091,NCT00356681,"A Study of AMG 706 or Bevacizumab, in Combination With Paclitaxel Chemotherapy, as Treatment for Breast Cancer"
5092,NCT00437658,Elagolix Versus Subcutaneous Depot Medroxyprogesterone Acetate for the Treatment of Endometriosis
5093,NCT00330187,Combined Pharmaco/Behavior Therapy in Adolescent Smokers
5094,NCT00426816,"To Evaluate The Effects Of SB-649868 (10, 30 Mg And 60 Mg) On Subjects With Primary Insomnia"
5095,NCT00104130,Study of KOS-862 (Epothilone D) in Metastatic Prostate Cancer
5096,NCT01268527,"A 12-Day Randomized, Blinded, Vehicle and Active Comparator-Controlled Study to Determine the Efficacy and Safety of Six Concentrations of Topical E6201 Gel in Subjects With Psoriasis Vulgaris"
5097,NCT01812642,A Pharmacokinetics Study to Evaluate Safety and Tolerability of JNJ-37822681 in Participants With Stable Schizophrenia
5098,NCT00704288,Study of XL184 (Cabozantinib) in Adults With Glioblastoma Multiforme
5099,NCT00636610,"A Study of Vismodegib (GDC-0449, Hedgehog Pathway Inhibitor) With Concurrent Chemotherapy and Bevacizumab As First-Line Therapy for Metastatic Colorectal Cancer"
5100,NCT01521585,A Phase II Safety and Tolerability Study With SEN0014196
5101,NCT00373529,A Study of Clofarabine for Older Patients With Newly Diagnosed Acute Myelogenous Leukemia (AML) (CLASSIC II)
5102,NCT00336479,"Phase 2 Study of VX-950, Pegasys®, and Copegus® in Hepatitis C"
5103,NCT00520806,Efficacy and Safety of Relaxin for the Treatment of Acute Heart Failure
5104,NCT00540670,A Double-Blind Study of E5555 in Japanese Subjects With Coronary Artery Disease
5105,NCT00323063,"Gemcitabine +/- Imatinib Mesylate, Patients w/Previously Treated Metastatic Breast Cancer"
5106,NCT00696657,A Randomised Controlled Clinical Trial in Type 2 Diabetes Comparing Semaglutide to Placebo and Liraglutide
5107,NCT00410774,Gemcitabine and Bevacizumab in Treating Patients With Pancreatic Cancer That Has Been Completely Removed By Surgery
5108,NCT00709722,Safety and Efficacy on Deoxyspergualin (NKT-01) in Patients With Lupus Nephritis
5109,NCT01156792,Safety and Efficacy Study of Adding GSK2190915 to Low Dose Inhaled Corticosteroid Treatment for Asthma Subjects > or = 12 Years of Age
5110,NCT00728845,"Hydroxychloroquine, Carboplatin, Paclitaxel, and Bevacizumab in Recurrent Advanced Non-Small Cell Lung Cancer"
5111,NCT01058655,"RAD001 and AV-951 in Patients With Refractory, Metastatic Colorectal Cancer"
5112,NCT00473525,12 Week Study Of PF-00734200 For The Treatment Of Type 2 Diabetes Mellitus In Subjects Treated With Metformin
5113,NCT00440154,A Study Evaluating the Safety and Efficacy of AVE5530 (4 Weeks) in Patients With Mild to Moderate Hypercholesterolemia
5114,NCT00860158,Neoadjuvant Dasatinib Plus LHRH Analogue Therapy in High-Risk Localized Prostate Cancer
5115,NCT00006374,Combination Chemotherapy in Treating Patients With Extensive-Stage Small Cell Lung Cancer
5116,NCT00924066,Ixabepilone to Treat Cervical Cancer
5117,NCT01028495,A Safety and Efficacy Study of RX-0201 Plus Gemcitabine in Metastatic Pancreatic Cancer
5118,NCT00413023,Study Of The Effects Of A New Antidepressant Therapy In Patients With Major Depressive Disorder (MDD)
5119,NCT00354250,Ispinesib in Treating Patients With Metastatic or Unresectable Kidney Cancer
5120,NCT00583102,Dose Escalation Phase I/II Study of Lovastatin With High-Dose Cytarabine for Refractory or Relapsed AML
5121,NCT01491490,Treatment on Iatrogenic Weight Gain and Dyslipidaemia Associated With Olanzapine
5122,NCT00095940,Lapatinib in Treating Young Patients With Recurrent or Refractory Central Nervous System Tumors
5123,NCT00043004,Chemotherapy and Bevacizumab With or Without Radiofrequency Ablation in Treating Unresectable Liver Metastases in Patients With Colorectal Cancer
5124,NCT00530127,A Study Investigating the Safety and Tolerability of Deferiprone in Patients With Friedreich's Ataxia
5125,NCT00367887,A Study Evaluating the Safety and Clinical Activity of HCV-796 in Treatment-Naive and Non-Responder Subjects
5126,NCT00047229,Oblimersen and Doxorubicin in Treating Patients With Advanced Hepatocellular Carcinoma (Liver Cancer)
5127,NCT00619164,A Double-Blind Study of E5555 in Japanese Patients With Acute Coronary Syndrome
5128,NCT00496379,ZK219477 (Sagopilone) in Patients With Breast Cancer and Brain Metastases
5129,NCT01090492,PF-00489791 For The Treatment Of Raynaud's
5130,NCT01401673,Phase II Open-Label Pilot Study of V3381 in Chronic Cough
5131,NCT00261846,Study Evaluating SKI-606 (Bosutinib) In Philadelphia Chromosome Positive Leukemias
5132,NCT00840450,Imatinib Mesylate (Gleevec) and Paclitaxel in Recurrent Patients of Ovarian and Other Cancers of Mullerian Origin
5133,NCT00648167,A Safety and Tolerability Study of Zerenex (Ferric Citrate) in Patients With End-Stage Renal Disease (ESRD)
5134,NCT00294359,"The MAX Study: Mitomycin C, Avastin and Xeloda in Patients With Untreated Metastatic Colorectal Cancer"
5135,NCT00359164,Phase II Pilot Study of Visudyne® Photodynamic Therapy (PDT) (Low and Very Low Fluence) Combined With Bevacizumab.
5136,NCT00404313,The Effect of MK0633 in Patients With Chronic Asthma (0633-007)
5137,NCT00107315,Bevacizumab and Capecitabine as First-Line Therapy in Treating Older Patients With Metastatic Colorectal Cancer
5138,NCT00122876,Tumor Ablation With Talaporfin Sodium and Interstitial Light Emitting Diodes Treating Hepatocellular Carcinoma (HCC)
5139,NCT01359943,"Efficacy, Safety and Tolerability of Secukinumab in Patients With Rheumatoid Arthritis Taking Methotrexate"
5140,NCT01120834,Study of 5-azacitidine in Combination With Vorinostat in Patients With Relapsed or Refractory Diffuse Large b Cell Lymphoma (DLBCL)
5141,NCT01518257,Safety and Efficacy Study of Botulinum Toxin Type A as Treatment for Osteoarthritis Knee Pain
5142,NCT00301067,Phase I/II Study of High-Dose Calcitriol Plus Temodar for Patients With Metastatic Melanoma
5143,NCT00309881,"Combination Chemotherapy and Rituximab in Treating Patients With Chronic Lymphocytic Leukemia (CLL) That Did Not Respond to Fludarabine, CLL With Autoimmune Haemolytic Anemia (AIHA) or Richter's Transformation (RT)"
5144,NCT00524849,Zometa and Circulating Vascular Endothelial Growth Factor (VEGF) in Breast Cancer Patients With Bone Metastasis
5145,NCT00095966,Sorafenib and Gemcitabine in Treating Patients With Locally Advanced or Metastatic Pancreatic Cancer
5146,NCT00003850,Thalidomide in Treating Patients With Recurrent or Metastatic Head and Neck Cancer
5147,NCT01039701,"4 Week, Safety and Tolerability Study in Patients With Mild to Moderate Alzheimer's Disease"
5148,NCT00447421,"A Study to Treat Small Cell Lung Cancer With a Combination of Cisplatin, Pemetrexed, and Radiotherapy"
5149,NCT00881725,A Study of Pre-operative Metformin in Prostate Cancer
5150,NCT00541112,"Radiation Therapy, Chemotherapy, and Cetuximab Followed by Surgery, Chemotherapy, and Cetuximab in Treating Patients With Locally Advanced or Metastatic Rectal Cancer That Can Be Removed by Surgery"
5151,NCT00206414,"Arimidex/Faslodex/Iressa Study: A Trial Using Arimidex, Faslodex and Iressa in Women With Breast Cancer"
5152,NCT00569946,Study Of AG-013736 (Axitinib) As Second-Line Treatment In Patients With Metastatic Renal Cell Cancer (mRCC)
5153,NCT01545726,Safety and Efficacy of QAW039 in Sputum Eosinophilia and Persistent Asthma
5154,NCT00156013,Clofarabine for Relapsed or Refractory T-Cell or B-Cell Non-Hodgkin Lymphoma (NHL)
5155,NCT00072189,A Phase II Study of UCN-01 in Metastatic Melanoma
5156,NCT00679510,Rosuvastatin in Rheumatoid Arthritis (RORA)
5157,NCT01241448,A Study of LY2409021 in Patients With Type 2 Diabetes
5158,NCT00246090,"A Phase II Study of E7389 in Patients With Breast Cancer, Previously Treated With Anthracycline, Taxane and Capecitabine"
5159,NCT00568451,Paclitaxel and Carboplatin or Temozolomide in Treating Patients With Stage IV Melanoma
5160,NCT01562743,A Long-Term Extension Trial From Late Phase II of SPM 962 in Patients With Restless Legs Syndrome
5161,NCT00112489,Paclitaxel and Carboplatin in Treating Patients With Persistent or Recurrent Stage III or Stage IV Uterine Cancer
5162,NCT00264498,Phase II Iressa & Carbo/Gem in NSCLC
5163,NCT00357149,Neoadjuvant Docetaxel Plus Cisplatin and 5-fluorouracil (TPF) Followed by Concomitant Chemoradiotherapy and Chemoradiotherapy Alone in Locally Advanced Squamous Cell Carcinoma of the Head and Neck Patients (SCCHNS)
5164,NCT03064113,Effects of TD-4208 on FEV1 in Subjects With Chronic Obstructive Pulmonary Disease (COPD)
5165,NCT00349115,TCD Followed by autoSCT for Newly Diagnosed MM Patients
5166,NCT00376194,Mercury Chelation to Treat Autism
5167,NCT00227591,Lenalidomide and Prednisone in Treating Patients With Myelofibrosis
5168,NCT00309140,An Open Label Study of Oral Enzastaurin in Participants With Cancer
5169,NCT01353534,Open-label Study to Assess Immunogenicity and Safety of a Vaccine Enhancement Patch When Administered With 2 Doses of H5N1 Vaccine
5170,NCT00603408,Effect of Chemotherapy and Radiation Prior to Surgery for Triple Negative Breast Cancer
5171,NCT00902668,Lovastatin in Reducing Side Effects After Radiation Therapy in Women With Breast Cancer
5172,NCT00298363,"Study Comparing Tenofovir Disoproxil Fumarate (TDF), Emtricitabine (FTC)/TDF, and Entecavir (ETV) in the Treatment of Chronic HBV in Subjects With Decompensated Liver Disease."
5173,NCT00278070,Metronomic Oral Vinorelbine in Patients With Metastatic Tumors
5174,NCT00640081,Combination Chemotherapy and Cetuximab as First-Line Therapy in Treating Patients With Advanced and/or Metastatic Colorectal Cancer
5175,NCT00334932,"Doxorubicin Hydrochloride Liposome, Melphalan, and Bortezomib in Treating Patients With Relapsed or Refractory Stage I, Stage II, or Stage III Multiple Myeloma"
5176,NCT00257894,Baclofen Effects on Smoking Urge and Withdrawal
5177,NCT00623597,A Study of Invirase (Saquinavir)/Ritonavir in HIV-Infected Infants and Children.
5178,NCT00256295,Weekly Oxaliplatin and Gemcitabine for Recurrent or Metastatic Head and Neck Cancer
5179,NCT01009983,"Paclitaxel, Carboplatin, and Panitumumab in Treating Patients With Metastatic Breast Cancer"
5180,NCT00063102,A Study of ABT-751 in Patients With Recurrent Breast Cancer After Taxane (Taxol or Taxotere) Therapy.
5181,NCT02090153,Study of S-1 Plus LV for Advanced Gastric Cancer
5182,NCT00393094,Bevacizumab and Irinotecan to Treat Brain Tumors
5183,NCT01272141,"A Study of Lapatinib in Combination With Everolimus in Patients With Advanced, Triple Negative Breast Cancer"
5184,NCT00358956,A Study To Assess ZD6474 (ZACTIMA™) Monotherapy In Locally Advanced or Metastatic Hereditary Medullary Thyroid Cancer
5185,NCT00242502,Efficacy and Safety Study of Bevacizumab and Erlotinib to Treat Primary Liver Cancer That Cannot be Removed By Surgery
5186,NCT00074737,Dosing Study of Ara-C/EL625/Idarubicin in Refractory and Relapsed AML
5187,NCT00144677,Sirolimus With Tacrolimus for Graft-vs-Host Disease Prophylaxis After Un-Related Stem Cell Transplantation
5188,NCT01158287,"Sorafenib. ICORG 06-41, V4"
5189,NCT00840827,Efficacy and Safety of Lenalidomide in Combination With Cyclosporine A in Patients With Myelodysplastic Syndromes
5190,NCT00535847,"A Rollover Study for Subjects Participating in the Control Arm of Study VX06-950-106, VX05-950-104 and VX05-950-104EU Whose Plasma Hepatitis C Virus (HCV) Ribonucleic Acid (RNA) Levels Did Not Respond to Therapy"
5191,NCT00583128,Safety and Efficacy of AST-120 in Patients With Non-Constipating Irritable Bowel Syndrome
5192,NCT01548404,Study of Dupilumab in Adult Patients With Extrinsic Moderate-to-Severe Atopic Dermatitis
5193,NCT00183963,A Pilot Clinical Trial to Evaluate the Biological Activity of Fulvestrant in Breast Ductal Carcinoma in Situ (DCIS)
5194,NCT00556205,Bevacizumab With or Without Sunitinib in Sunitinib-Refractory Renal Cell Carcinoma
5195,NCT00475293,Panitumumab in Combination With Irinotecan Chemotherapy as 2nd-line Therapy in Subjects With mCRC
5196,NCT01154387,Evaluating Safety and Efficacy of TOL101 Induction Versus Anti-Thymocyte Globulin to Prevent Kidney Transplant Rejection
5197,NCT00267696,"Study of Gemcitabine/Carboplatin/Bevacizumab to Treat Ovarian, Fallopian Tube or Primary Peritoneal Cancer"
5198,NCT00550589,Cidofovir in Treating HIV-Infected Patients With High-Grade Squamous Intraepithelial Lesions of the Skin Near the Anus
5199,NCT02716779,Influence of Ribavirin on the Initial Virological Response in Treatment Naïve Patients With Hepatitis C Genotype 1 Infection
5200,NCT00603746,A Randomized Study To Evaluate The Efficacy And Safety Of An Investigational Drug In Adolescent And Adult Subjects With Asthma Uncontrolled on Moderate-Dose ICS Therapy.
5201,NCT00612586,Study of Enzastaurin With 5-Fluorouracil/Leucovorin (5-FU/LV) Plus Bevacizumab as Maintenance Regimen Following First Line Therapy for Metastatic Colon Cancer
5202,NCT00620113,Efficacy and Safety of Odanacatib (MK-0822) in Participants With Involutional Osteoporosis (MK-0822-022)
5203,NCT00408564,"Cetuximab, Gemcitabine, and Oxaliplatin Followed By Surgery or External-Beam Radiation Therapy and Capecitabine in Treating Patients With Locally Advanced, Nonmetastatic Pancreatic Cancer That Cannot Be Removed By Surgery"
5204,NCT01626573,"A Study Exploring the Safety, Tolerability, and Efficacy of a 28 Day Course Followed by an Additional 56 Day Course of Itacitinib in Subjects With Active Rheumatoid Arthritis"
5205,NCT00737243,Treatment Based on Molecular Profiling Diagnosis Carcinoma of Unknown Primary Site
5206,NCT01227421,Safety and Efficacy Study of Nitazoxanide in the Treatment of Acute Uncomplicated Influenza
5207,NCT01437735,Dose Finding Study for QAW039 in Asthma
5208,NCT00559962,Evaluate Low Doses of AEGR-733 on Hepatic Fat Accumulation by MRS
5209,NCT00369577,Staccato Loxapine in Agitation (Proof of Concept)
5210,NCT00455559,Ph II Study of Perifosine Plus Gleevec for Patients With GIST
5211,NCT00676052,Dose-Ranging Study Of GSK233705B In Subjects With Chronic Obstructive Pulmonary Disease (COPD)
5212,NCT00544817,Radiation Therapy and Temozolomide Followed by Temozolomide Plus Sorafenib for Glioblastoma Multiforme
5213,NCT00692445,TC-5214 as add-on the Treatment of Major Depressive Disorder
5214,NCT00280150,"Combination Chemotherapy, Bev, RT, and Erlotinib in Treating Patients With Stage III Non-Small Cell Lung Cancer"
5215,NCT00401843,A Study of the Safety and Efficacy of CNTO 328 and Bortezomib to Bortezomib Alone in Patients With Relapsed or Refractory Multiple Myeloma
5216,NCT00683475,A Study of IMC-A12 or Ramucirumab Plus Mitoxantrone and Prednisone in Prostate Cancer
5217,NCT01259284,Fish Oil Versus Statins Versus Placebos in Reducing Atrial Fibrillation in Patients Undergoing Thoracic Surgery for Lung Cancer
5218,NCT01159327,Study of Sorafenib Maintenance in Patients With ED-SCLC After Response to Induction Chemotherapy
5219,NCT00032643,A Thyroid Hormone Analog to Fight Heart Failure: Phase II Trial (DITPA)
5220,NCT00604461,"Carboplatin, Bevacizumab and Pemetrexed in the First-Line Treatment of Patients With Malignant Pleural Mesothelioma (MPM)"
5221,NCT00370552,A Trial of 2 Schedules of Ixabepilone Plus Bevacizumab and Paclitaxel Plus Bevacizumab for Breast Cancer
5222,NCT00889421,Apremilast in the Treatment of Uveitis
5223,NCT00127036,Trial for Microarray Analysis of Colon Cancer Outcome-A (MACCO-A)
5224,NCT00551018,Efficacy and Safety of VICRIVIROC in HIV-Infected Treatment-Naïve Subjects (Study P04875)
5225,NCT01147666,Study of Roxadustat (FG-4592) in Participants With End-Stage Renal Disease Receiving Maintenance Hemodialysis
5226,NCT01093807,Efficacy and Safety of Lercanidipine and Enalapril in Patients With Essential Hypertension
5227,NCT01282476,Panobinostat With Rituximab for Relapsed/Refractory Diffuse Large B Cell Lymphoma
5228,NCT00237380,Safety and Efficacy of Ataluren (PTC124) for Cystic Fibrosis
5229,NCT00382798,"Adaptive Phase I HCV Study With Nucleoside Analogue, in Combination With Interferon and Ribavirin"
5230,NCT00336700,A Phase II Study of Gemcitabine and Erlotinib As Adjuvant Therapy In Patients With Resected Pancreatic Cancer
5231,NCT00517868,Study of URG101 in Painful Bladder Syndrome and Interstitial Cystitis
5232,NCT00107276,S0430 Cyclophosphamide and Capecitabine in Treating Women With Stage IV Breast Cancer
5233,NCT00453154,"Cisplatin or Carboplatin, and Etoposide With or Without Sunitinib Malate in Treating Patients With Extensive-Stage Small Cell Lung Cancer"
5234,NCT00085371,Triapine as First-Line or Second-Line Therapy in Treating Patients With Locally Advanced or Metastatic Cancer of the Pancreas
5235,NCT00568646,Phase 2 Study of Oral MKC-1 in Patients With Unresectable or Metastatic Pancreatic Cancer
5236,NCT00368992,"S0536: Cetuximab, Paclitaxel, Carboplatin, and Bevacizumab in Treating Patients With Advanced Non-Small Cell Lung Cancer"
5237,NCT01090973,Oral LBH589 in Relapsed or Refractory Chronic Lymphocytic Leukemia (CLL) and Mantle Cell Lymphoma (MCL)
5238,NCT00634205,Phase II Study of Valproate and Doxorubicin in Malignant Mesothelioma
5239,NCT01414855,A Study of Obinutuzumab [RO5072759 (GA101)] in Combination With CHOP Chemotherapy in Patients With Previously Untreated Advanced Diffuse Large B-Cell Lymphoma (GATHER)
5240,NCT00465907,"Study of Weekly Paclitaxel, Carboplatin and Irinotecan to Treat Lung Cancer"
5241,NCT00515255,Study of NPL-2003 in Adolescents With Obsessive Compulsive Disorder (OCD)
5242,NCT00515502,Safety Study Using GSK573719 And Tiotropium In Patients With Chronic Obstructive Pulmonary Disease
5243,NCT01427933,A Study of Ramucirumab (IMC-1121B) in Combination With Eribulin Versus Eribulin Alone in Participants With Breast Cancer
5244,NCT01281917,Study of Velcade and Temsirolimus for Relapsed or Refractory Non-Hodgkin Lymphoma
5245,NCT00445458,A Phase 1/2 Study of HKI-272 (Neratinib) in Combination With Paclitaxel (Taxol) in Subjects With Solid Tumors and Breast Cancer
5246,NCT01349036,A Phase 2 Study of PLX3397 in Patients With Recurrent Glioblastoma
5247,NCT00490776,Study of Oral LBH589 in Adult Participants With Refractory/Resistant Cutaneous T-Cell Lymphoma (CTCL)
5248,NCT00985907,Doxil® + Melphalan + Velcade (DMV) in Relapsed/Refractory Multiple Myeloma
5249,NCT00684593,A Study to Assess the Clinical Effects of Navarixin in Participants With Psoriasis (MK-7123-009)
5250,NCT00185380,Dose-finding Study for the Ultralow-dose Levonorgestrel Intrauterine Contraceptive System (LCS)
5251,NCT00511186,A Study in Sepsis Patients With Renal Failure
5252,NCT01189032,Late Phase II Confirmatory Study of DE-089 Ophthalmic Solution in Patients With Dry Eye
5253,NCT00305448,"A Clinical Trial to Compare Efficacy and Tolerability of Fulvestrant 250mg, 250mg (Plus 250mg Loading Regimen) and 500mg"
5254,NCT00563563,A Study of Naltrexone SR/ Bupropion SR in Overweight and Obese Subjects Who Are Nicotine-Dependent
5255,NCT00498966,Ph II Study of Perifosine for Patients With Carcinoma of the Kidney
5256,NCT00096460,Autologous or Donor Stem Cell Transplantation in Treating Patients With Recurrent Non-Hodgkin's Lymphoma (BMT CTN 0202)
5257,NCT00395317,Study Of SB-683699 Compared To Placebo In Subjects With Relapsing-Remitting Multiple Sclerosis (MS)
5258,NCT00431015,"Phase I/II Safety Study of IPI-504 in Relapsed/Refractory Stage IIIb, or Stage IV Non-small Cell Lung Cancer (NSCLC)"
5259,NCT00066443,"Epirubicin, Docetaxel, and Pegfilgrastim in Treating Women With Locally Advanced or Inflammatory Breast Cancer"
5260,NCT00626106,QUILT-2.015: A Study of AMG 479 With Exemestane or Fulvestrant in Postmenopausal Women With Hormone Receptor Positive Locally Advanced or Metastatic Breast Cancer
5261,NCT00068393,Doxorubicin and Gemcitabine in Treating Patients With Locally Recurrent or Metastatic Unresectable Renal Cell Carcinoma
5262,NCT00422903,Letrozole In Combination With Lapatinib In Neoadjuvant Treatment Of Early Breast Cancer
5263,NCT00372775,Study Tests The Safety And Effectiveness Of SU011248 In Patients With Non-Small Cell Lung Cancer Having Brain Metastases
5264,NCT00379587,Rituximab for Prevention of Chronic GVHD
5265,NCT01524497,A Clinical Study of Trazodone Hydrochloride Prolonged-Release Tablets for Treatment of Depression
5266,NCT01649297,A 16 Weeks Study on Efficacy and Safety of Two Doses of Empagliflozin (BI 10773) (Once Daily Versus Twice Daily) in Patients With Type 2 Diabetes Mellitus and Preexisting Metformin Therapy
5267,NCT00119678,Abatacept in the Treatment and Prevention of Active Systemic Lupus Erythematosus (SLE) Flares in Combination With Prednisone
5268,NCT00071006,AG-013736 (Axitinib) In Patients With Poor Prognosis Acute Myeloid Leukemia (AML) Or Myelodysplastic Syndrome (MDS)
5269,NCT00495326,Comparison of Nevirapine and Efavirenz for the Treatment of HIV-TB Co-infected Patients (ANRS 12146 CARINEMO)
5270,NCT00393146,A Study To Investigate The Effect Of 28 Days Of Dosing With GW856553 On Patients With Rheumatoid Arthritis
5271,NCT01474551,Vemurafenib (R05185426) in Poor Performance Status Patients With Unresectable Locally Advanced or Metastatic Melanoma Harboring a V600E/K Mutation
5272,NCT00635726,"Methotrexate, Vinblastine, Doxorubicin and Cisplatin (MVAC) Followed by Gemcitabine Plus Cisplatin (GEM+CDDP) in Locally Advanced or Metastatic Bladder Cancer"
5273,NCT00630110,Phase 1/2 Study of Vascular Disrupting Agent NPI-2358 + Docetaxel in Patients With Advanced Non-Small Cell Lung Cancer
5274,NCT01111656,"Efficacy, Safety and Tolerability of Atorvastatin 40 mg in Patients With Relapsing-remitting Multiple Sclerosis Treated With Interferon-beta-1b"
5275,NCT00516828,Sorafenib and Low Dose Cytarabine in Older Patients With Acute Myeloid Leukemia or High-Risk Myelodysplastic Syndrome
5276,NCT00918463,A Study to Evaluate the Safety and Efficacy of Dasatinib (Sprycel) in Subjects With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (DLBCL)
5277,NCT00598507,Phase II Trial Of ZK-EPO (ZK 219477) (Sagopilone) In Metastatic Melanoma
5278,NCT01373554,Efficacy and Safety of Oltipraz in the Patients With Non-alcoholic Fatty Liver Disease
5279,NCT00161291,Open Label Trial for Post-Menopausal Women With Newly Diagnosed Operable Breast Cancer
5280,NCT00941928,Haploidentical Natural Killer (NK) Cells With Epratuzumab for Relapsed Acute Lymphoblastic Leukemia (ALL)
5281,NCT00303927,Capecitabine as Second-Line Therapy in Treating Patients With Stage IV Pancreatic Cancer Who Have the Thymidylate Synthase Gene
5282,NCT00423501,A Study of a GLP-1 Analogue in Patients With Type 2 Diabetes Treated With Metformin.
5283,NCT00003847,"VX-710, Doxorubicin, and Vincristine for the Treatment of Patients With Recurrent Small Cell Lung Cancer"
5284,NCT00633087,A Phase I/II Trial of 2-Deoxyglucose (2DG) for the Treatment of Advanced Cancer and Hormone Refractory Prostate Cancer
5285,NCT00284518,Safety and Efficacy Study of Botulinum Toxin Type A to Treat Lower Urinary Symptoms Due to Benign Prostatic Hyperplasia
5286,NCT01428661,Melatonin Agonist Effects of Tasimelteon Versus Placebo in Patients With Major Depressive Disorder
5287,NCT00729612,"Paclitaxel Albumin-Stabilized Nanoparticle Formulation and Carboplatin in Treating Patients With Stage IIIB, Stage IV, or Recurrent Non-Small Cell Lung Cancer"
5288,NCT01530399,Phase II Study to Compare MDCO-2010 vs Placebo and Tranexamic Acid in Patients Undergoing Cardiac Surgery
5289,NCT00635323,Safety And Efficacy Of Irinotecan Plus Capecitabine As First-Line Treatment In Asian Subjects With Hepatocellular Carcinoma
5290,NCT00421434,"Study of Nitazoxanide, Peginterferon, and Ribavirin Combination Therapies in the Treatment of Chronic Hepatitis C"
5291,NCT00674700,Safety and Efficacy Study of Sublingual Immunotherapy (SLIT) to Treat House Dust Mite Allergic Rhinitis
5292,NCT00637247,A Randomized Study of Amplimexon (Imexon) With Gemcitabine in Pancreatic Cancer
5293,NCT00077025,Comparing Anastrozole-Placebo to the Combination Anastrozole-ZD1839 in Postmenopausal Patients With Estrogen Receptor and/or Progesterone Receptor Metastatic Breast Cancer
5294,NCT01017575,Safety and Efficacy of Daclatasvir (BMS-790052) Plus Standard of Care in Japanese Patients (Pegylated-interferon Alpha-2a and Ribavirin)
5295,NCT01110057,Efficacy Study in Lumbosacral Radiculopathy
5296,NCT01153763,A Study of GSK2118436 in BRAF Mutant Metastatic Melanoma
5297,NCT00147875,"Study of Prednisone, Vinblastine, Doxorubicin, and Gemcitabine in Elderly Patients With Advanced Stages Hodgkin's Lymphoma"
5298,NCT00766220,Yttrium Microspheres With Cetuximab Plus Irinotecan for Patients With Advanced Colorectal Cancer Mets to Liver
5299,NCT00243230,Vicriviroc (SCH 417690) in Combination Treatment With Optimized ART Regimen in Experienced Participants (VICTOR-E1) (MK-7690-020/P03672)
5300,NCT00460031,Treating Patients With Prostate Cancer That Did Not Respond to Hormone Therapy
5301,NCT01151215,Study of Anastrozole +/- AZD8931 in Postmenopausal Women With Endocrine Therapy Naive Breast Cancer
5302,NCT00528580,Statins for the Early Treatment of Sepsis
5303,NCT00222469,Combination Chemotherapy for 1st Line Treatment of Advanced or Metastatic Pancreatic Cancer
5304,NCT00130689,Use of Cetuximab for Unresectable or Metastatic Esophageal and Gastric Cancer
5305,NCT00048204,A Study Of A New Medicine (GW597599B) For The Treatment Of Major Depressive Disorder
5306,NCT01665352,A Study to Evaluate Safety and Efficacy of TTP054 for 12 Weeks in Subjects With Type 2 Diabetes
5307,NCT00411788,A Phase II Study of Rapamycin and Trastuzumab for Patients With HER-2 Receptor Positive Metastatic Breast Cancer
5308,NCT00399438,A Study of BMS-562086 in Patients With Irritable Bowel Syndrome
5309,NCT00004106,Temozolomide in Treating Patients With Mycosis Fungoides or Sezary Syndrome
5310,NCT00440388,Safety & Efficacy Study of AT-101 in Combination w/ Rituximab in Previously Untreated Grade I-II Follicular Non-Hodgkin's Lymphoma
5311,NCT00607607,A Phase 2 Study of Oral MKC-1 in Patients With Ovarian or Endometrial Cancer
5312,NCT00417885,A Clinical Trial Assessing Efficacy and Safety of Sunitinib and Exemestane in Patients With ER [Estrogen Receptor] + and/or PgR [Progesterone Receptor] + Breast Cancer
5313,NCT01005758,Combination Chemotherapy in Treating Adult Patients With Newly Diagnosed Acute Lymphoblastic Leukemia
5314,NCT00429858,Gemcitabine and S-1 for Locally Advanced Unresectable or Metastatic Pancreatic Cancer
5315,NCT00412542,Thalidomide and Temozolomide or Camptothecin-11 (CPT-11) in Patients With Gliomas
5316,NCT00014196,S0022:Combination Chemotherapy and Radiation Therapy in Treating Patients With Stage IIIB Non-Small Cell Lung Cancer
5317,NCT01119950,Efficacy and Safety of NVA237 in Patients With Chronic Obstructive Pulmonary Disease (COPD)
5318,NCT00511706,Safety and Efficacy of a New Treatment as Adjunctive Therapy to Anti-vascular Endothelial Growth Factor (Anti-VEGF) Treatment in Patients With Age-Related Macular Degeneration (AMD)
5319,NCT00115518,Radiation Plus Cetuximab in Locally Advanced Non-Small Cell Lung Cancer (NSCLC)
5320,NCT00621023,"Cephalon Decitabine, Arsenic Trioxide and Ascorbic Acid for Myelodysplastic Syndrome"
5321,NCT01086605,Pixantrone Dimaleate in Treating Patients With HER2-Negative Metastatic Breast Cancer
5322,NCT00416598,Decitabine as Maintenance Therapy After Standard Therapy in Treating Patients With Previously Untreated Acute Myeloid Leukemia
5323,NCT01272791,Trial of Gemcitabine With or Without Bavituximab in Patients With Previously Untreated Stage IV Pancreatic Cancer
5324,NCT01051791,Phase II Study of RAD001 Head and Neck Cancer
